date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,rating1_pre,rating2_pre,pitcher1,pitcher2,pitcher1_rgs,pitcher2_rgs,pitcher1_adj,pitcher2_adj,rating_prob1,rating_prob2,rating1_post,rating2_post,score1,score2
9/29/2023,2023,0,,ARI,HOU,1502.867424,1560.633526,0.45155909,0.54844091,,,1492.158843,1551.652557,,,,,,,0.451562083,0.548437917,,,,
9/29/2023,2023,0,,ANA,OAK,1499.082809,1419.148525,0.645265865,0.354734135,,,1514.710466,1405.884622,,,,,,,0.691337242,0.308662758,,,,
9/29/2023,2023,0,,STL,CIN,1500.939267,1457.716542,0.595551898,0.404448102,,,1503.375442,1451.750014,,,,,,,0.605744698,0.394255302,,,,
9/29/2023,2023,0,,MIL,CHC,1515.611399,1502.887101,0.552654562,0.447345438,,,1528.543168,1496.664335,,,,,,,0.580465544,0.419534456,,,,
9/29/2023,2023,0,,KCR,NYY,1449.363929,1540.923685,0.403980876,0.596019124,,,1439.390523,1555.499411,,,,,,,0.374542893,0.625457107,,,,
9/29/2023,2023,0,,COL,MIN,1473.021523,1506.342291,0.486589553,0.513410447,,,1449.824817,1524.582921,,,,,,,0.429602377,0.570397623,,,,
9/29/2023,2023,0,,CHW,SDP,1471.83726,1519.852501,0.465494226,0.534505774,,,1477.615252,1540.269629,,,,,,,0.449226211,0.550773789,,,,
9/29/2023,2023,0,,ATL,WSN,1565.562354,1459.174888,0.679303015,0.320696985,,,1567.68316,1440.061436,,,,,,,0.706316802,0.293683198,,,,
9/29/2023,2023,0,,NYM,PHI,1511.177773,1517.536757,0.525365669,0.474634331,,,1534.023993,1522.539278,,,,,,,0.555339034,0.444660966,,,,
9/29/2023,2023,0,,TOR,TBD,1536.927725,1564.162708,0.495344619,0.504655381,,,1543.844967,1559.709472,,,,,,,0.515949939,0.484050061,,,,
9/29/2023,2023,0,,BAL,BOS,1517.675808,1515.660197,0.537369657,0.462630343,,,1501.392784,1520.511029,,,,,,,0.504987722,0.495012278,,,,
9/29/2023,2023,0,,DET,CLE,1475.516939,1506.432939,0.490048391,0.509951609,,,1457.58583,1515.666229,,,,,,,0.450512719,0.549487281,,,,
9/29/2023,2023,0,,PIT,FLA,1474.02638,1474.264941,0.534142245,0.465857755,,,1469.401973,1486.133401,,,,,,,0.511784736,0.488215264,,,,
9/28/2023,2023,0,,SEA,TEX,1523.899441,1512.2874,0.551071117,0.448928883,,,1515.715403,1520.138096,,,,,,,0.536054022,0.463945978,,,,
9/28/2023,2023,0,,COL,LAD,1473.021523,1573.756748,0.391330379,0.608669621,,,1449.824817,1565.362028,,,,,,,0.36851538,0.63148462,,,,
9/28/2023,2023,0,,MIL,STL,1515.611399,1500.939267,0.555424968,0.444575032,,,1528.543168,1503.375442,,,,,,,0.565534981,0.434465019,,,,
9/28/2023,2023,0,,ATL,CHC,1565.562354,1502.887101,0.622210869,0.377789131,,,1567.68316,1496.664335,,,,,,,0.634204452,0.365795548,,,,
9/28/2023,2023,0,,NYM,FLA,1511.177773,1474.264941,0.586773362,0.413226638,,,1534.023993,1486.133401,,,,,,,0.604999489,0.395000511,,,,
9/28/2023,2023,0,,TOR,NYY,1536.927725,1540.923685,0.528756358,0.471243642,,,1543.844967,1555.499411,,,,,,,0.521301593,0.478698407,,,,
9/28/2023,2023,0,,BAL,BOS,1517.675808,1515.660197,0.537369657,0.462630343,,,1501.392784,1520.511029,,,,,,,0.50815492,0.49184508,,,,
9/28/2023,2023,0,,PHI,PIT,1517.536757,1474.02638,0.595950682,0.404049318,,,1522.539278,1469.401973,,,,,,,0.608772903,0.391227097,,,,
9/28/2023,2023,0,,MIN,OAK,1506.342291,1419.148525,0.654772171,0.345227829,,,1524.582921,1405.884622,,,,,,,0.69534181,0.30465819,,,,
